"name","rating_count"
"La Pino'z Pizza",500
"KFC",500
"Dosa Planet",500
"Junction",500
"Kolkata Royal Biryani",500
"NIC Natural Ice Creams",500
"Kanya Restaurant",500
"Anand",500
"Chef Corner",500
"The Hungry Bird",500
"Biryani By Kilo",500
"Uttar Dakshin",500
"Pappu Restaurant",500
"Fusion Restaurant",500
"Daya Hari Mithai",500
"Devi Fast Food",500
"Lets Dimsum",500
"Gopal Mistanna Bhandar",500
"Trinayani",500
"Delicious Fast Food And Tiffin Hub",500
"Shyamasree Restaurant",500
"Eatopia Zannat",500
"Hungrilla",500
"Smoke N Spice",500
"Wow Shawarma",500
"The Hungry Port",500
"Dawat",500
"La Pino'z Pizza",500
"New Pizza King",500
"Chimmanlal Poori Wale",500
"Ghar Ka Swad (By Papa Ji's)",500
"Aahar",500
"Raj Rasoi Sweets & Restaurant",500
"Bikanervala",500
"Om Sai Ram Bhojnalaya",500
"Pandit Bhojnalaya",500
"Taco Bell",500
"Eat Punjab",500
"Makhni Brothers",500
"NIC Natural Ice Creams",500
"KFC",500
"Faasos - Wraps & Rolls",500
"McDonald's",500
"Kbobs",500
"La Milano Pizzeria",500
"Meals101",500
"Oven & Grill",500
"Kesar Foods",500
"Santushti - Shakes & More",500
"New Prince Bhajipav Corner",500
"Jassi De Parathe",500
"Cafe Piano - The Grand Bhagwati",500
"The Swad",500
"Gwalia Sweets & Fast Food",500
"La Milano Pizzeria",500
"1944 Restaurants-The Hocco Kitchen",500
"Hotel The Lotus Park",500
"La Milano Pizzeria",500
"Mahalaxmi Pav Bhaji",500
"Modi Sandwich And Pizza-Paldi",500
"Highland Park",500
"Dinner Bell 2",500
"Swati Snacks",500
"La Pino'Z Pizza",500
"Faasos - Wraps & Rolls",500
"Eat Punjab",500
"Magic Chicken",500
"McDonald's",500
"Jalaram Khichdi Restaurant",500
"La Pino'Z Pizza",500
"Greenz Restaurant",500
"Banerjee'S Alfa Restaurant",500
"Season 9",500
"Aavkar Restaurant",500
"Dadi Sa Restaurant",500
"Anand Bhajipav & Pulav (Ankurwala)",500
"Sugarless Life",500
"Shakti - The Sandwich Shop",500
"Swati Snacks",500
"Alinea Restaurant & Banquet",500
"Udupi Shree Darshini Restaurant",500
"NIC Natural Ice Creams",500
"Gwalia Sweets & Fast Food",500
"McDonald's",500
"The Bent Spoon",500
"La Milano Pizzeria",500
"Grill Villa",500
"Bombay Darbar Biryani",500
"City Corner - Maninagar",500
"La Milano Pizzeria",500
"Khana Khazana",500
"McDonald's",500
"Faasos - Wraps & Rolls",500
"Iqbal Hotel",500
"Gwalia Sweets & Fast Food",500
"Eat Punjab",500
"La Pino'Z Pizza",500
"McDonald's",500
"Aryan Fast Food",500
"Meals101",500
"Jain Bhojanalya",500
"Arabian Shake Cafe -Indira Jn",500
"Veggie Square",500
"Aramana",500
"Amritsari Zaika Restaurant (Malai chaap wale)",500
"McDonald's",500
"Darjeeling snacks momos point ( Center Point)",500
"Deepak Restaurant and Sweets",500
"Sher-e-Punjab",500
"Family Choice Restaurant",500
"Tandoori Nites",500
"Pizza Club 99",500
"Gay Time Family Restaurant",500
"Statesman House",500
"Aryan Family's Delight",500
"Subway",500
"NIC Natural Ice Creams",500
"Bati Chokha Wala",500
"Raju Kitchen Restaurant",500
"Behrouz Biryani",500
"Jaiswal Dosa Corner",500
"Shree Kanha Sweets & Restaurant",500
"Sagar Ratna ( Balson chauraha)",500
"Delight The Pastry Shop",500
"Daawat Biryani",500
"Hot n Cool ( Naini )",500
"Praveen Sai Bakers & Fast Food",500
"Mahaveer Dhaba",500
"Mr. Chop Shop",500
"Grand Pizza",500
"P Bhagat Tarachand",500
"Chawla Chicken",500
"Pindi Soya",500
"Zaitoon Restaurant",500
"SaiSangeet",500
"Sarathy Hotel (Kaspa A)",500
"Jazeerah Restaurant",500
"Kale Da Dhaba",500
"Poornima Chinese Food",500
"La Pino'z Pizza",500
"Muscleholics",500
"Bombay Pav Bhaji (Original)",500
"Old kundan Dhaba",500
"New Rajasthan Chat Bhandar",500
"Sanjha Chulha Dhaba",500
"Pritam Dhaba",500
"Los Fiesta",500
"Ankit Fast food",500
"Bade Bhai ka Brothers Dhaba",500
"The Red Restro",500
"Lovely Kulcha Land and Veg champ",500
"Bons food Factory",500
"Bira Sweets",500
"NIC Natural Ice Creams",500
"Sahyog Restaurant",500
"Hotel Kashmir",500
"Sree Vinayaka Grand",500
"Raghavendra Hotel",500
"Hyderabad Biryani House",500
"Theque",500
"KFC",500
"Delhi Hotel",500
"Bombay A1 Tawa Spot",500
"Mauj",500
"Bombay Bandra Faluda & Chat",500
"KFC",500
"Siddhi Restaurant",500
"McDonald's",500
"Trupti Fast Food",500
"Amigos Kitchen",500
"Indiana Cake Boutique",500
"Green Leaf-2",500
"Bombay Chat Bhandar",500
"Adil Restaurant & Chinese",500
"Tuljai Swaypak Ghar",500
"La Pino'z Pizza",500
"Hotel Maharaja & Lucknawi Darbar Restaurant",500
"Neelgiri food and tiffen services.",500
"Gagz Food Point",500
"JAGGI's",500
"ROLLS NATION",500
"Mohan Murge Wala (Sai Market)",500
"Apna Dhaba",500
"Nagpal Restaurant Since 1999",500
"Pizza Khalo",500
"Pizza Plaza",500
"The Hot Bread",500
"Malgudi's Donne Biriyani.",500
"Hotel Aasare",500
"Domino's Pizza",500
"BOX8 - Desi Meals",500
"Calicut Restaurant",500
"EatFit",500
"Brahmins' Thatte Idli",500
"Kaati Zone Rolls & Wraps",500
"New Udupi Grand",500
"UDUPI RUCHI GRAND",500
"Thalassery Restaurant",500
"Nandhana Palace",500
"New Krishna Sagar Fast Food",500
"Udupi Sannidhi Grand",500
"Domino's Pizza",500
"Oye Hoye (100% Veg)",500
"Beijing Bites",500
"Biryani By Kilo",500
"Khawa Karpo",500
"Lazeez",500
"RNR Biryani - Taste of 1953",500
"Chinese Wok (Wok Express)",500
"Domino's Pizza",500
"Chai Point",500
"Chickpet donne biriyani house",500
"Anjappar",500
"The Hole in the Wall Cafe",500
"China Pearl",500
"Donne Biryani House",500
"Tenzin Kitchen",500
"What'sinaPita",500
"NARMADA Chain of Restaurants",500
"Onesta",500
"Royal Treat",500
"Theobroma",500
"WarmOven Cakes & Desserts",500
"Punjabi Nawabi",500
"Sagar fast food",500
"Saapaad",500
"Andhra Gunpowder",500
"Istah Shawarma",500
"Imperial Restaurant",500
"KFC",500
"Corner House Ice Cream",500
"Malabar Bay",500
"Maalgaadi by Dhaba Estd 1986 Delhi",500
"Grill Daddy",500
"Bangaliana",500
"Taco Bell",500
"Ajji Ruchi Kitchen",500
"Beijing Bites",500
"The Mylapore Cafe",500
"Madurai Idly Shop",500
"Say Cheese Cake",500
"Breakfast Express",500
"Oru Vadakkan Cafe",500
"BOX8 - Desi Meals",500
"Sri Krishna Sagar",500
"Hyderabad Biryaani House",500
"Kunafa World",500
"Glen's Bakehouse",500
"Mizo kitchen",500
"Savoury Restaurant",500
"Nandhini Deluxe",500
"Bhojori Manna",500
"Louis Burger",500
"Nandhini Deluxe",500
"Paris Panini - French Street Food",500
"Domino's Pizza",500
"URU Brewpark",500
"7th Heaven Cakes & Desserts",500
"Mandi",500
"Istah Shawarma",500
"Chulha Chauki Da Dhaba",500
"Mayuri",500
"RNR Biryani - Taste of 1953",500
"Subway",500
"Samosa Party",500
"Taco Bell",500
"Tandoor and Spice",500
"Asha Sweet Center",500
"Shuddh Desi Khana",500
"Kabab Magic",500
"Rajvardhan Foods",500
"Ambur Star Briyani Since 1890",500
"Potful - Claypot Biryanis",500
"Onesta",500
"SLV Ragigudda",500
"The Pizza Bakery",500
"Andhra Ruchulu",500
"South Thindi",500
"Sri Vishnu palace",500
"Burger King",500
"Domino's Pizza",500
"Kabab Magic (Outer Ring Road)",500
"Leon Grill",500
"Biryani Paradise",500
"Chai Point",500
"KFC",500
"McDonald's",500
"Taco Bell",500
"Madurai Idly Shop",500
"Nando's",500
"Thalaivars Biryani",500
"Chulha Chauki Da Dhaba",500
"IMPERIO RESTAURANT",500
"FreshMenu",500
"Kaati Zone Rolls & Wraps",500
"Turkish Chicken Company",500
"LunchBox - Meals and Thalis",500
"Indori Poha",500
"Thalaivars Biryani",500
"High Street",500
"Thalassery Restaurant",500
"Cakewala",500
"Junior Kuppanna",500
"Dosa Chicken & Tiffins",500
"THEOBROMA",500
"Kadavu Shappu Curry's",500
"The Pizza Place",500
"Kumarakom",500
"Szechuan Dragon",500
"Onesta",500
"Chaayos Chai+Snacks=Relax",500
"Sardarji Londonwaley",500
"Coal Spark Restaurant",500
"Khichadiwala",500
"Singh Da Pind",500
"Subway",500
"Mast Marathi",500
"Ryu Ramen Co.",500
"Olio - The Wood Fired Pizzeria",500
"Hotel Salam",500
"Shree Muthahalli Veg",500
"Babai Tiffins",500
"Sandwich Guru",500
"Chicking",500
"Beijing Bites",500
"BOX8 - Desi Meals",500
"Kapoor's Cafe",500
"Adiga's",500
"Natural Ice Cream",500
"Kota Kachori And Falahaar",500
