"city","types","counts"
"Bagerhat","Bengali","26"
"Bandarban","Bengali","20"
"Bandarban","North Bengali,Chinese","20"
"Barguna","North Bengali,Chinese","25"
"Barishal","Bengali","26"
"Bhola","Bengali","19"
"Bogura","Bengali","21"
"Brahmanbaria","Bengali","28"
"Chandpur","Bengali","22"
"Chapai Nawabganj","Bengali","30"
"Chattogram","Bengali,Chinese","25"
"Chuadanga","Bengali","25"
"Cox's Bazar","Bengali","20"
"Cox's Bazar","North Bengali,Chinese","20"
"Cumilla","North Bengali,Chinese","27"
"Dhaka","North Bengali,Chinese","26"
"Dinajpur","Bengali","25"
"Faridpur","Bengali","20"
"Faridpur","North Bengali,Chinese","20"
"Feni","Bengali,Chinese","18"
"Feni","Chinese","18"
"Feni","North Bengali,Chinese","18"
"Gaibandha","North Bengali,Chinese","29"
"Gazipur","Bengali","26"
"Gopalganj","North Bengali,Chinese","24"
"Habiganj","North Bengali,Chinese","25"
"Jamalpur","North Bengali","24"
"Jashore","North Bengali","23"
"Jhalokati","Bengali","22"
"Jhenaidah","North Bengali,Chinese","20"
"Joypurhat","Bengali","24"
"Khagrachhari","North Bengali,Chinese","20"
"Khulna","Bengali","27"
"Kishoreganj","North Bengali,Chinese","24"
"Kurigram","Bengali","25"
"Kushtia","North Bengali,Chinese","27"
"Lakshmipur","Bengali","21"
"Lalmonirhat","Chinese","16"
"Lalmonirhat","North Bengali,Chinese","16"
"Madaripur","Bengali","22"
"Magura","North Bengali","25"
"Manikganj","Bengali","21"
"Manikganj","Bengali,Chinese","21"
"Meherpur","North Bengali","21"
"Moulvibazar","North Bengali,Chinese","28"
"Munshiganj","Bengali","20"
"Mymensingh","North Bengali,Chinese","23"
"Naogaon","Bengali","24"
"Narail","Bengali","22"
"Narayanganj","North Bengali,Chinese","25"
"Narsingdi","North Bengali,Chinese","28"
"Natore","Bengali","21"
"Netrokona","North Bengali,Chinese","26"
"Nilphamari","North Bengali,Chinese","24"
"Noakhali","Bengali","23"
"Pabna","North Bengali,Chinese","19"
"Panchagarh","North Bengali,Chinese","26"
"Patuakhali","Bengali","22"
"Pirojpur","North Bengali,Chinese","25"
"Rajbari","Bengali","23"
"Rajshahi","Bengali","27"
"Rangamati","North Bengali,Chinese","23"
"Rangpur","Bengali","23"
"Satkhira","Bengali","21"
"Shariatpur","North Bengali","21"
"Sherpur","North Bengali,Chinese","23"
"Sirajganj","North Bengali,Chinese","29"
"Sunamganj","North Bengali,Chinese","28"
"Sylhet","Bengali","30"
"Tangail","Bengali","27"
"Thakurgaon","North Bengali","26"
