"name","sum"
"Al Modern Restaurant","4060"
"Street Flavours","699"
"Pandit Ji Parantha Hut","51"
"FIT MEAL","147750"
"KRS KITCHEN","2231"
"Maa Shiv Shakti","106"
"Stanley Ka Khichdi Dibba","259"
"FRIEND HOTEL 786","333"
NULL,"412791"
"Mahadev Food Corner","185"
"R R Bakers","60"
"UDAYAPPA FAST FOOD","421"
"Fauji Da Dhaba And Amritsari Kulcha","1880"
"Friend Shawarma Corner","741"
"NI HAO","14727"
"Mummy Da Dabba","2074"
"Ashwini Tea & Tiffins","144"
"Samruddhi Pure Veg Restaurant","579"
"FLAVOR OF KOLKATTA","403"
"K.D.H. CATTERERS","69"
"Kesar Restaurant","13208"
"Bae'Kd by Ko","1532"
"Meals of India","22533"
"GFC So Good","5236"
"Swad Punjabiyan Da","60"
"Burgroll","14815"
"Chungs Chinese Corner","88"
"GUNNUZ CAFE & BAKERY","12009"
"KAPOOR'S KEBAB N KURRY","718"
"Maheshwari bhel & gathiya center","486"
"Insta Pizza","9588"
"Bhatia's Kitchen & Snacks","2366"
"BONG FUSION","6204"
"Bengali Tadka (Taste Of Bengal)","3843"
"KG SOUTH INDIAN FOOD CORNER","685"
"ORIGINAL NELLAI PERIYA LALA CORNER SWEETS","2505"
"Balaji Restaurant and fast food","7917"
"URMI CHICKEN CORNER","2194"
"RAJU RANI RUCHULU","1648"
"Madras Biryani","1972"
"Rose Cafe","657"
"Karan's Authentic Food Court","93"
"Burgwrap","2509"
"Mexicate","0"
"inside cafe","106"
"Pocket Waffle","3130"
"Hollywood Pasta - Creamy Italian Taste","2481"
"ASTHA CAKE HOUSE","26301"
"SRI MAHALAKSHMI CAFE","1310"
"Kovai Juice Corner","12944"
"Asima Briyani","745"
"QUALITY RESTURANT","306"
"Basmati Briyani Nation","15898"
"FOOD BUGGY","157"
"ROYAL PURVANCHAL","116"
"Himalayan momo zone","8296"
"Hotel Up & Above","21699"
"Lotus Leaf","10181"
"Cafe Smiley","19685"
"Star Tea & Snacks [Bombay Street Food]","93"
"AKSHAR AAHAR","65796"
"Kailash Pure Veg","10806"
"Amadora Gourmet Ice Cream","241"
"BONOMI","14468"
"MATHRUSRI TIFFINS","148"
"New Sheetal Restaurant","28393"
"HIGH PROTEIN","130"
"ROLL'S&MAGGI RISHI","403"
"Grass and Bone","46894"
"Nawabi Thaath","935"
"Indira Canteen","97"
"Ulfat-E-Biryani","17709"
"Shanthi Juice World","157"
"Deshi Bawarchi Kitchen","972"
"PUNJABI FOOD JUNCTION","1750"
"Foodie indian","1292"
"Hotel Campus","843"
"Kalimata tiffins and fastfood","10259"
"TAJ BIRIYANI CENTER","23273"
"Ali's Restaurant","505"
"Hunger Fillerz","7676"
"GS Restaurant","144"
"SANJAY CHAAT BHANDAR BRANCH-2","375"
"51 Rainbow","833"
"JAY BABA LOKNATH HOTEL","3120"
"Royal Class Foods","83"
"Metro Ice Cream","222"
"Jai Sainath Frankie","2319"
"Happy foods","699"
"MEHMAAN RESTAURANT","398"
"Prem Chat","54620"
"Treat my hunger","194"
"Cafe Rendezvous","7490"
"Krishna Tiffin Box","2588"
"DIMSUM BOX","110926"
"Sagar Shree ( South Indian Specialist)","120"
"The Momo King","301"
"Chettinad The Fusion Kitchan","3394"
"Let's Meat","8574"
"Sri Kanchika Cool Joint","681"
"Wake N Bake Snacks N Bakery","60"
"KANNAN DOSAI KADAI","333"
"Monginis cake shop","1630"
"Yellow Chili's","2269"
"French Loaf","11649"
"Half Chocolate","579"
"Tiwaris Kitchen","722"
"New lucky multicusine restaurant","74"
"SALEM COFFEE POINT","17019"
"Cafe Grey By Dongle & Co","3435"
"Sherowali Bhoj- Non Veg Hotel & Restaurant","1194"
"Annapurna Bhojnalya","3156"
"Bala Ji (Pack & Go)","5500"
"Biryani & Spice","6477"
"FUN TIME ICE CREAM","20009"
"Sri Bikaner Mishtan Bhandar","12028"
"De PEPPERS","551"
"Sethi Bakers (Jwalapur)","282"
"China Box","19830"
"Chennai Briyani & Fast Food","1861"
"HUNGRY DELIGHTS","0"
"Bhikaram Chandmal-Taste of Bikaner","3782"
"Burger world","79"
"Southern Express - The Alley","685"
"Yum Yum Tree","172"
"Nukkar Dhaba Since 1984","329"
"Transform Diet","2199"
"Jay Maa Shudh Vaishno Dhaba","69"
"Dirty Dough Pizza By Moets","3074"
"SRI SAI NIDHI","93"
"TEMPTING CHURROS","5754"
"Sugar Magik","10500"
"GOKUL","565"
"Uncle Cake & Bake","407"
"Thoda Aur","4264"
"Buddha Bites","4148"
"Food on mood","7190"
"Lucky Fast Food","5384"
"Chinese Sizzler","750"
"Hanzla Food Service","861"
"SARDAR JI DA DHABA","319"
"Rodrigues Fast Food And Snacks Corner","551"
"Indian Masala","10768"
"Hotel Rimi International","1028"
"The Chandigarh Kitchen","3181"
"Pappa Baby Snacks Hub","449"
"Tiffin Wali","137477"
"Kyriad Haritam Pure Veg","1194"
"AL MADINA BIRYANI CORNER","144"
"Krispp","3255"
"Handi Xpress (DLF Phase 3)","250"
"Shawarma Khao","208"
"Blue pepper by vapour B.E.","3954"
"the cake","778"
"The Cake Hub","121"
"Wisphot","1338"
"TUMKUR KITCHEN","0"
"Laham Kabab","1519"
"SPICY CHICKEN","102"
"ALI BABA'S MANDI","83"
"Apna Thikana","1588"
"Tawa Tandoor (Authentic Indian Restaurant)","6153"
"Purple Parrot- An Indian Kitchen","77648"
"Lal Tadka Restaurant","3065"
"Noodles Affair Fusion Chinese","940"
"Delli's Chillies","16273"
"PISTRINUM BAKERS","319"
"The Blue Bell cakes","6486"
"THE CAKE VENUE","315"
"World of shakes","65"
"DS Asort Fashion Of The Food","2296"
"Monginis Riya Cake Shop","14120"
"12TH AVENUE","4852"
"Shanghai Chillie S","148"
"Chillz Square","667"
"Theque","4907"
