"name","item"
"Zuk","Zuk Veg Patty Burger"
"Al Baik - Juna Bazar","Zinger Burger Combo"
"Apna Cafe","Zinger Burger"
"Asado Cafe","Zinger Burger"
"RODEO BURGER","Zinger Bucket Box"
"Zalkaar Cloud Kitchen","Zalkaar Special Chicken Dum Biryani [750 Ml"
"Mehfil Biryani By Zakir Khan","Zakir's Special Veg Dum Biryani"
"Softy Corner","Zafarani pista ice cream"
"only idlis","Yummy Idlis"
"Jain Dairy","Yogurt Black Currant (90gm)"
"London Dairy","Yoghurt Berry Delight (serves 4)"
"La Co'S Pizza","Yellow Fusion Pizza Cheese Burst"
"Hotel Ganga Regency","Yellow Dal Tadka"
"Yami's Special Thali","Yami's Special Pav Bhaji"
"Kolhapuri Misal & Vada Pav","Xxl Cheese Burst Vada Pav [ 2 Pcs"
"Amudham Briyani","White Rice"
"SUBBANNA MILITARY HOTEL","White Rice"
"SUJATHA MILITARY HOTEL","White Rice"
"Achyutha's Green Chilly Indian Restaurant","White Rice"
"Vaishno Bhojan Bhandar Heere Di Hatti","White Rice"
"VINU COORGU PORK HOTEL","White Rice"
"BALAJI KABAB CORNER","White Rice"
"PAANOOR RESTAURANT & CAFE","White Rice"
"GEETHA MILITARY HOTEL","White Rice"
"Chiru's Biryani","White Rice"
"POWER DUM BIRYANI","White Rice"
"SRI BANASHANKARI JONNE BIRYANI AND CHATS","White Rice"
"Garden KABAB CORNER","White Rice"
"EMPEROR","White Rice"
"The Kerala Central","White Rice"
"Maanasaa Biriyaani","White Rice"
"KS GOWDARU HOTEL","White Rice"
"Grand Pizza","White Penne Pasta"
"Abhishek Chinese Corner","White Pasta"
"MUTHYAL REDDY MILK DAIRY","White Kalakand [250grams]"
"FB Cakes","White Forest Pastry"
"Royal Bakers","White Forest Pastry"
"THE BOULANGERIE","White Forest Pastry"
"Cake & Bake","White Forest Cake[1 Pound]"
"Cake Junction","White Forest Cake 500grm"
"Paigam Bake n Fast Food","White Forest Cake 500 Grm"
"7th Heaven & Tasty Heaven","White Forest Cake 1Kg"
"Cakemellow","White Forest Cake 1/2 Kg"
"CAKE SHOWROOM","White Forest Cake 1/2 Kg"
"Brunch Italiano (sakchi)","White Forest Cake (500 gms)"
"Black One","White Forest Cake (500 gms)"
"Bangera Bakers","White Forest Cake (500 gms)"
"Arihant Cakes & Cookies","White Forest Cake (500 gms)"
"Gupta Bakery & Sweet Shop","White Forest Cake (500 gms)"
"Pastry Chef","White Forest Cake (1 kg)"
"Sky Cake & Cafe","White Forest Cake"
"CAKE AFFAIR","White Forest Cake"
"Royal Bake House","White Forest Cake"
"CAKE HUB","White Forest Cake"
"THE CAKE PALACE","White Forest Cake"
"Winni Cakes & More","White Forest Cake"
"Mr.Cake","White Forest Cake"
"Agrawal Sweets & Confectionery","White Forest Cake"
"BAKE FRESH","White Forest Cake"
"Kekiz The Cake Shop","White Forest Cake"
"Monginis Cake Shop (Infocity)","White Forest Cake"
"Sormistha's Baking World","White Forest [Half]"
"Gupta Cake & Pastry","White Forest"
"The Bombaywala Cakes","White Forest"
"Mannat Bakers","White Forest"
"Amma's Pastries","White Forest"
"Decide Bakers","White Forest"
"CAKE GOLDEN","White Fores Cake[500g]"
"IBACO","White Chocolate Ice Cream (95 gms)"
"Swagath Foods And Spices","Wheat Chapathi [ 3pcs ]+ Egg Burji"
"SRI GANESH FRUIT JUICE CENTER","Watermelon Juice"
"Bombay Chat Bhandar","Watermelon Juice"
"Krishna Dalbati","Water Bottle"
"Bombay Kulfis","Water Bottle"
"APPU'S DONNE BIRYANI","Water Bottle"
"Chickpet donne biriyani house","Water Bottle"
"Amuktamalyada","Water Bottle"
"Pappu Chaiwalla","Water Bottle"
"Tava say","Water Bottle"
"Kathiyavadi Bhajiya Point","Water Bottle"
"FudgeBob","Walnut Brownie"
"Kurtosshhh","Walnut Brownie"
"Bakers & Shakers","Walnut Brownie"
"The Chaisa","Walnut Brownie"
"The Dessert Zone","Walnut Brownie"
"The Humble Pie","Walnut Brownie"
"Brownie Heaven","Walnut Brownie"
"Tokyo Town","Walnut Brownie"
"BYG PIZZA","Waffles"
"Gelato Factory","Waffle Cone"
"Amrit Bakery store","Vitamin B Juice 350ml"
"Seasons - The Coffee Shop","Virgin Mojito"
"Uphaar","Vermicelli/ Jave"
"Shreeja Food Zone","Venilla Cup Per Pes"
"Chai Wai","Veggie Supreme Toast"
"Drizzle's Pizza","Veggie Supreme Pizza"
"Puffizza","Veggie Delight Pizza"
"Firangi Bhukkad","Veggie Delight Maggi"
"Shreeji Krupa","Vegetables Sandwich"
"Foodzu","Vegetable Salad"
"Kavya Bakery","Vegetable Patty"
"Mundey De Parathe","Vegetable Paneer Paratha"
"Enrise by Sayaji","Vegetable Niramish Thali"
"The Brooklyn Creamery - Healthy Ice Cream","Vegan Acai Berry Banana - Chocolate Coated Bars Multipack - 4 x 55 ml"
"WOK (Hotel Ganga Regency)","Veg. Hakka Noodles & Veg. Manchurian"
"THE UNIQUE","Veg Thali"
"MAA KALI HOTEL","Veg Thali"
"Angel Lords Eco Inn","Veg Thali"
"Desii delicious","Veg Thali"
"Transform Diet","Veg Thali"
"New Janapriya Hotel","Veg Thali"
"JOY RAM FAST FOOD","Veg Thali"
"Suvarna andra hotel","Veg Thali"
"Moms Kitchen","Veg Thali"
"House Of Hunger","Veg Thali"
"Murari Dhaba","Veg Thali"
"SINGH FOOD SERVICE","Veg Thali"
"The Coal","Veg Thali"
"The rice bowl","Veg Thali"
"RAJA RASOI","Veg Thali"
"YUM INDIA INTERNATIONAL","Veg Thali"
"FOOD CENTRE","Veg Thali"
"Dhanraj Momos Center","Veg Tandoori Momos [6 pieces]"
"Hokart - Darjeeling Momos","Veg Steam Momos"
"Ira's Curry Leaf Multicuisine Restaurant","Veg Spring Roll"
"BRAR RESTAURANT","Veg Spring Roll"
"Eat-N-Enjoy (Chole Bhature wale)","Veg Spring Roll"
"Nagpal Restaurant Since 1999","Veg Spring Roll"
"Bandhan Restaurant","Veg Spring Roll"
"White Sugar Restaurant","Veg Spring Roll"
"One Ten Restaurant","Veg Spring Roll"
"Desi Cook- Hotel Orchid Blu","Veg Spring Roll"
"Hot Stuff","Veg Spring Roll"
"Green Apple Restaurant","Veg Spring Roll"
"Midas The Bistro","Veg Spring Roll"
"Raja Chicken House","Veg Spring Roll"
"GURU IYARKAI SOUP","Veg Soup"
"New Pakwan Fast Food","Veg Soup"
"Burger Singh (Big Punjabi Burgers)","Veg Snacker + Chicken Snacker"
"Trishiv Chinese","Veg Singapuri Noodles"
"Pappi Di Hatti","Veg Singapuri Noodles"
"Cloud 9","Veg Schezwan Noodles"
"The Chinese Hut","Veg Schezwan Noodles"
"MAEDAH","Veg Schezwan Noodles"
"Golden Dragon Chinese","Veg Schezwan Noodles"
"Peakking Hut","Veg Schezwan Noodles"
"Fusion Kitchen","Veg Schezwan Noodles"
"Hungry Panda - Deliciously Chinese","Veg Schezwan Noodles"
"Adil Restaurant & Chinese","Veg Schezwan Noodles"
"Hokart - Rayji chineses and rolls","Veg Schezwan Noodles"
"SCHEZWAN HUB","Veg Schezwan Noodles"
"Keffeaur","Veg Schezwan Noodles"
"R K Restaurant","Veg Schezwan Fried Rice"
"Biryani Pot Hotel","Veg Schezwan Fried Rice"
"Auntie Fung's","Veg Schezwan Fried Rice"
"Sai Chinese Fast Food","Veg Schezwan Fried Rice"
"Prince Corner","Veg Schezwan Fried Rice"
"Hao Chi","Veg Schezwan Fried Rice"
"chikpet donne biryani","Veg Schezwan Fried Rice"
"Wok Station","Veg Schezwan Fried Rice"
"RAJASTHAN FAST FOOD","Veg Schezwan Fried Rice"
"The Wok Tales","Veg Schezwan Fried Rice"
"Amigos Kitchen","Veg Schezwan Fried Rice"
"Cinnamon","Veg Schezwan Fried Rice"
"Nizza Pizza","Veg Sandwich"
"Sandwich Eats","Veg Sandwich"
"Dabboo Dalsev","Veg Sandwich"
"Hot Pizza & Bake Shop","Veg Sandwich"
"Puchkas","Veg Sandwich"
"Star Food","Veg Sandwich"
"Guru Kripa Fast Food Corner","Veg Sandwich"
"Valentine's Pizza","Veg Sandwich"
"CAKE PLANET","Veg Sandwich"
"Toritos Express","Veg Sandwich"
"Red Chilli","Veg Sandwich"
"Brewich","Veg Sandwich"
"Dusk Restaurant","Veg Sandwich"
"Sandwich Point","Veg Sandwich"
"Yashu's Homely Food","Veg Sandwich"
"Belgians Waffle","Veg Sandwich"
"Toritos Cafe Time","Veg Sandwich"
"Tea Smokers Cafe","Veg Sandwich"
"Hot Wok","Veg Sandwich"
"Damru Restaurant And Benquet","Veg Sandwich"
"Blue Coriander","Veg Sandwich"
"Hichki - The Multi Cuisine Restaurant","Veg Sandwich"
"Forever","Veg Sandwich"
"JV s Chaat Junction","Veg Sandwich"
"Kanha Snacks Bar And Restaurant","Veg Sandwich"
"Cafe Contento","Veg Sandwich"
"WAO!PIZZA","Veg Sandwich"
"Chaw Box","Veg Sandwich"
"Lokseva Pure Veg","Veg Sandwich"
"Foodway","Veg Sandwich"
"Friends Cafe & Fast Food Hub","Veg Sandwich"
"Jiya Fast Food","Veg Sandwich"
"Shiva Cafe","Veg Sandwich"
"Foodish","Veg Sandwich"
"Gabru Vadapav","Veg Sandwich"
"Crisp N Joy","Veg Sandwich"
"Deviram Royal Restaurant","Veg Sandwich"
"Orange Cafe","Veg Sandwich"
"The Jungle Joy Restaurant","Veg Sandwich"
"Ha Moj Ha","Veg Sandwich"
"Spotty Waffle Bistro","Veg Sandwich"
"Shiv Snacks And Fast Food","Veg Sandwich"
"Rohit snacks","Veg Sandwich"
"Saladian","Veg Sandwich"
"The Pastry Shop","Veg Sandwich"
"Coffee Byus","Veg Sandwich"
"The Halal Kitchen","Veg Sandwich"
"ZEEL FAST FOOD","Veg Sandwich"
"Shiv Cold Cafe","Veg Sandwich"
"Rk Restaurant","Veg Sandwich"
"Nilkamal Food Corner","Veg Sandwich"
"Mateshwari Restaurant","Veg Sandwich"
"Gully Cafe Delight","Veg Sandwich"
"Sweet Surprise","Veg Sandwich"
"Hotel Laadli Veg Restaurant","Veg Sandwich"
"Chats Katte","Veg Sandwich"
"Sheetal Fast Food","Veg Sandwich"
"OM SAIRAJ SANDWICH","Veg Sandwich"
"Pizza Castle Cafe","Veg Sandwich"
"Swadist Cafe","Veg Sandwich"
"Trio Spice","Veg Sandwich"
"Bhimsingh Paties","Veg Sandwich"
"Eatryzone","Veg Sandwich"
"Siddhi Vinaayak Bakers","Veg Sandwich"
"Tippinwala","Veg Sandwich"
"INPERIOR  spice","Veg Roll"
"Burgway","Veg Roll"
"Vrindavan fast food corner","Veg Roll"
"@99","Veg Roll"
"Paani Kum chai","Veg Roll"
"Osyummly","Veg Roll"
"Kasturi Biryani","Veg Roll"
"Lakhi Egg Roll & Caterer","Veg Roll"
"FOODIES CORNER","Veg Roll"
"Thapar's The Cake Shop- Burudgaon","Veg Roll"
"SHIV MISTHAN BHANDAR","Veg Roll"
"Himland","Veg Roll"
"Italiano Pizza","Veg Roll"
"Kaveri (Adityapur)","Veg Roll"
"Cake Dilim (Doddanekkundi)","Veg Roll"
"Deep Delighted Kitchen","Veg Roll"
"Pizza Story","Veg Roll"
"NAMASTE KOLKATTA KATI ROLLS","Veg Roll"
"York Ave Cafe","Veg Roll"
"Hangout Restaurant And Pizza Corner","Veg Roll"
"Marky Momos","Veg Roll"
"Rolls king","Veg Roll"
"Manila Brewery","Veg Roll"
"Haji Biryani & Barbeque","Veg Roll"
"FLAVOURS OF ARI","Veg Roll"
"sardar ji chinese","Veg Roll"
"Manhattan Circle","Veg Roll"
"MUNCHY TIME","Veg Roll"
"Appy's Kitchen","Veg Roll"
"KOLKATTA FAMOUS KATI ROLLS","Veg Roll"
"New Kolkata Rolls","Veg Roll"
"New kabab zone","Veg Roll"
"Mad Maxican","Veg Roll"
"Kolkata Kathi Rolls","Veg Roll"
"GRILL THEORY & A1 HOTEL","Veg Roll"
