"city","item","price"
"Bagerhat","Surprise Bomb Chocolate Cake","5000.00"
"Bandarban","Ruhaniyat Monsoon Edition","7500.00"
"Barguna","Chicken Main Course For 20 Persons","7999.00"
"Barishal","Raan Biryani","2299.00"
"Bhola","Chocolate Truffle (1 Kg)","9990.00"
"Bogura","Paneer Angara","3650.00"
"Brahmanbaria","Barrel Brown Large 1L (900 Gms)","7840.00"
"Chandpur","Grilled Salmon Steak","2290.00"
"Chapai Nawabganj","Chocolate Rocher Sunade","5296.00"
"Chattogram","Mutton Celebration Combo","2299.00"
"Chuadanga","KitKat Cake","4000.00"
"Cox's Bazar","Vibez Special Veg Salad","2950.00"
"Cumilla","Chicken Main Course For 20 Persons","7999.00"
"Dhaka","Paneer Tikka Btr M/s ( Large )","4540.00"
"Dinajpur","Aloo Gobi Mattar","5225.00"
"Faridpur","Anniversary Cake Redvalvet Flavor","1999.00"
"Feni","Jungle Design Cake","4200.00"
"Gaibandha","1 Paneer Cheese Butter+ 1 Paneer Masala+ 1 Paneer Hydrabadi+ 1 Tawa Biryani+ 1 Hydrabadi Biryani+ 1","4450.00"
"Gazipur","Meal For 20","5999.00"
"Gopalganj","Non Veg Sasarwadi Jawai Thali","3900.00"
"Habiganj","Choclate Cake 1 Kg","1500.00"
"Jamalpur","24'' (2 Feat) 4 Non Veg Topping Pizza","2999.00"
"Jashore","Belgian Chocolate White With Cranberry","3900.00"
"Jhalokati","Home-Style Wok Fried Lobster In Chili Sauce (350Gms)(Gluten Free)","2088.00"
"Jhenaidah","Jungle Design Cake (Egg)","4200.00"
"Joypurhat","Blackforest Cake [10 Pond]","3000.00"
"Khagrachhari","New Hamper Big","4999.00"
"Khulna","Paneer Tikka Btr M/s ( Large )","4540.00"
"Kishoreganj","Mother's Day Special Large Gift Hamper 2","2350.00"
"Kurigram","German Chocolate","1950.00"
"Kushtia","Royal Chicken + Mutton Biryani Feast","2279.00"
"Lakshmipur","Chicken Main Course For 20 Persons","7999.00"
"Lalmonirhat","Prawns Biryani(14pc Medium Size Prawns)","2200.00"
"Madaripur","Ultimate Main Course Celebration Box - Non Veg (12-14 People) (upto 15% Off)","5999.00"
"Magura","Veg Main Course Party Pack For 30 Person","9999.00"
"Manikganj","Birthday Party Package- McVeggie now with Happy Readers","2055.01"
"Meherpur","Chicken Main Course For 20 Persons","7999.00"
"Moulvibazar","Shahi Indian Box","2399.00"
"Munshiganj","KitKat Cake","4000.00"
"Mymensingh","Buffet Lunch At Home - For 4","2299.00"
"Naogaon","Chicken Main Course For 20 Persons","7999.00"
"Narail","Forits Family Treat Combo","2699.00"
"Narayanganj","Chicken Main Course For 20 Persons","7999.00"
"Narsingdi","Kg Mutton Head Masala + Kushka Rice + Parota 4 Nos [1kg]","2130.00"
"Natore","Chicken Main Course For 20 Persons","7999.00"
"Netrokona","Chicken Main Course For 20 Persons","7999.00"
"Nilphamari","Diwali Gift Hamper 2 [1.5 Kg]","3211.00"
"Noakhali","Home Party Menu","4999.00"
"Pabna","Dark Chocolate Secrets Ice Cream Cake [20 Serve]","2360.00"
"Panchagarh","Royal Chicken + Mutton Biryani Feast","2279.00"
"Patuakhali","KitKat Cake","4000.00"
"Pirojpur","Shahi Indian Box","2399.00"
"Rajbari","3 Strawberry Shake with Ice Cream + (3 Plate) Chicken Noodles","1404.00"
"Rajshahi","Chicken Main Course For 20 Persons","7999.00"
"Rangamati","Full Kitkat Full Gems Cake(eggless)","1800.00"
"Rangpur","Chicken Main Course For 20 Persons","7999.00"
"Satkhira","Chicken Main Course For 20 Persons","7999.00"
"Shariatpur","Chicken Main Course For 20 Persons","7999.00"
"Sherpur","Mango Kingdom Gala Ice Cream Cake [20 Serve]","2360.00"
"Sirajganj","Honey Chilli Chicken","3199.00"
"Sunamganj","Aloo Gobi Masala","2900.00"
"Sylhet","Customize Your Design [Call : 9636880836]","4000.00"
"Tangail","Rocher Sundae","5296.00"
"Thakurgaon","Non Vegetarian Meal For Ten Persons","7500.00"
